english,hindi_original,hindi_simplified
central board of direct taxes income tax direct taxes issues with it returns appeal effect pan no assessment year chargeoffice not provided regional office office region rajasthan the assessee has filed an appeal for the ay against the assessment order further the assessee has opted vivad se viswas scheme and form no has issued to assessee by the principal commissioner of income tax jaipur the said form has issued by authority to assessee only when all taxes paid against the disputed demand however after issuing the form no the disputed demand is still lying outstanding at the income tax portal because of this the refund due of another assessment year have been adjusted against the wrong demand which is already settled in vivas se viswas scheme a letter in this regard has already been filed before the ld assissing officer copy of form no and letter are enclosed for verification of the submission made in view of the above facts it is requested to your honor please consider the submission and documentary evidences please cancel the demand at income tax portal and issued a refund along with interest,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिटर्न अपील प्रभाव कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय क्षेत्राजस्थान को प्रदान नहीं किया है, निर्धारिती ने मूल्यांकन आदेश के खिलाफ अपील दायर की है और आगे निर्धारिती ने विवाद से विश्वास योजना का विकल्प चुना है और आयकर जयपुर के प्रधान आयुक्त द्वारा निर्धारिती को फॉर्म संख्या जारी की गई है, उक्त फॉर्म प्राधिकरण द्वारा निर्धारिती को केवल तभी जारी किया गया है जब विवादित मांग के खिलाफ भुगतान किए गए सभी कर, हालांकि फॉर्म जारी करने के बाद कोई विवादित मांग अभी भी आयकर पोर्टल पर बकाया है क्योंकि इसके कारण एक अन्य मूल्यांकन वर्ष के कारण धनवापसी को गलत मांग के खिलाफ समायोजित किया गया है जो पहले से ही निवासेवा योजना में निपटाई जा चुकी है","मुख्य आयकर बोर्ड आयकर के मामलों के साथ रिटर्न अपील प्रभाव कोई साल नहीं कर कार्यालय ने क्षेत्रीय कार्यालय कार्यालय राजस्थान को नहीं दिया है, करदाता ने मूल्यांकन आदेश के खिलाफ अपील दायर की है और आगे करदाता ने विवाद से विश्वास योजना का विकल्प चुना है और आयकर जयपुर के प्रमुख आयुक्त द्वारा करदाता को फ"
central board of direct taxes income tax direct taxes faceless apellate schemenational faceless appellate centre nfac pan no assessment year acknowledgement number of the it appeal the income tax department national faceless assessment centre delhi regarding sohan lal yadav pan no ay subject application us of it act through proper channel ito ward jhalawar being response window closed respected sir with due respect we acknowledge the receipt of appeal order passed us of it act on in which appeal has been dismissed on the ground no responsesubmission have been given in support of appeal filed hence appeal is dismissed it is submitted that in appeal haring only one notice has been issued vide din no itbanfacfapl dated which is properly complied with appeal submission vide acknowledge no dated copy enclosed after the first appeal hearing notice dated no further notice has been issued and final appeal order has been passed us of it act on in which it is mentioned that no response from appellant has been submitted hence appeal is dismissed the mistake is apparent from records that appeal submission have been filed vide acknowledgment no dated in compliance to hearing notice dated but the same not been considered and treated as no response no submission our request is please consider the same amp pass rectification order and consider the submission filed by appellant thanking you yours faithfully sd sohan lal yadav encl aa,"केंद्रीय प्रत्यक्ष कर बोर्ड प्रत्यक्ष कर प्रत्यक्ष कर कोई मूल्यांकन वर्ष स्वीकृति संख्या नहीं है जिसमें यह आयकर विभाग के राष्ट्रीय फेसलेस मूल्यांकन केंद्र दिल्ली में अपील करता है कि सोहन लाल यादव पान कोई विषय आवेदन के संबंध में हम उचित माध्यम से कार्य करते हैं। यह वार्ड झालावाड़ प्रतिक्रिया खिड़की बंद होने के कारण सम्मानित हैं। हम इस अधिनियम की प्राप्ति को स्वीकार करते हैं, जिसमें अपील को इस आधार पर खारिज कर दिया गया है कि दायर की गई अपील के समर्थन में कोई प्रतिक्रिया नहीं दी गई है, इसलिए अपील खारिज कर दी जाती है। यह प्रस्तुत किया जाता है कि अपील की सुनवाई में केवल एक नोटिस जारी किया गया है, जिसमें दिन नहीं, दिन नहीं, दिन नहीं, दिन नहीं, दिन नहीं, दिन नहीं, दिन नहीं, दिन नहीं। अपीलार्थी आपको ईमानदारी से धन्यवादेते हुए एस. डी. सोहन लाल यादव एन. एल. ए","यह आयकर विभाग का राष्ट्रीय फेसलेस मूल्यांकन केंद्र दिल्ली है। सोहन लाल यादव के पैन संख्या के संबंध में हम उचित तरीके से काम कर रहे हैं। झालावाड़ वार्ड की खिड़की बंद होने के कारण हमें सम्मान मिला है। हम इस पत्र को स्वीकार करते हैं, जिसमें अपील को इस आधार पर खारिज कर दिया गया है कि दायर की गई अपील के समर्थन में क"
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office region delhi rectification petition has been disposed off by jurisdictional ao on by dtermining refund of rs and earlier years refund adjusted with demand of current year rs now total refund comes to rs one year has been completed various time our representative visited to office for refund every time they have assured that you will get the refund from cpc they have already raised the refund with authorities,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ वापसी का मामला गलत मांग का कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय क्षेत्र प्रदान नहीं किया दिल्ली सुधार याचिका को अधिकार क्षेत्र द्वारा रुपये के रिफंड को समाप्त करके निपटाया गया है और पिछले वर्षों के रिफंड को चालू वर्ष की मांग के साथ समायोजित किया गया है अब कुल रिफंड रुपये पर आता है एक वर्ष पूरा हो गया है कई बार हमारे प्रतिनिधि ने हर बारिफंड के लिए कार्यालय का दौरा किया है जब उन्होंने आश्वासन दिया है कि आपको सी. पी. सी. से रिफंड मिलेगा, वे पहले ही अधिकारियों के साथ रिफंड उठा चुके हैं","मुख्य आयकर बोर्ड आयकर के मामलों से निपटता है। इस मामले में, कोई भी वर्ष निर्धारित नहीं किया गया था। दिल्ली कार्यालय ने रिफंड का मामला सुलझा लिया है और पिछले साल के रिफंड को इस साल की मांग से समायोजित कर दिया है। अब कुल रिफंड रुपये हो गया है। एक साल बीत चुका है। हमारे प्रतिनिधि ने कई बार कार्यालय का दौरा किया है। उन्"
central board of direct taxes income tax direct taxes issues with it returns appeal effect pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing to income tax officer ward civic center new delhi subject refund of appeal effect ay rs and refund for ay amp pan respected sir i jitendra arora having pan had filed my income tax return of ay on having acknowledgement no at the time of processing of income tax return income tax department had issued me a notice us d of the income tax act in respect of the matter concerned in the above mentioned notice we had filed an appeal appeal no to office of the commissioner of income tax through online submission the decree in appeal was given in favor of the assesses by the assessing officer in which penalty order was cancelled and the appeal of the appellant was allowed copy of appeal order along with tax challan is attached for your kind consideration tax deposited rs for the said appeal dated bsr no challan no in addition to the above my following refund are also due ay rs copy of itr and intimation order us is attached ay rs copy of itr and intimation order us is attached ay rs copy of itr and intimation order us is attached ay rs copy of itr and intimation order us is attached therefore it is requested you to kindly resolve and remove the balance demand on income tax portal for the ay and issue the refund for all the pending assessment years thanking you jitender arora,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिटर्न अपील प्रभाव कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. को आयकर अधिकारी वार्ड नई दिल्ली को दाखिल नहीं किया अपील प्रभाव का धनवापसी और ए. आई. एम. पी. एन. के लिए धनवापसी आदरणीय सर आई. जितेंद्र अरोड़ा ने आयकर रिटर्न की प्रक्रिया के समय पावती संख्या होने पर ए. आई. का मेरा आयकर रिटर्न दाखिल किया था। आयकर विभाग ने मुझे उपरोक्त सूचना में संबंधित मामले के संबंध में आयकर अधिनियम के बारे में एक नोटिस जारी किया था। हमने ऑनलाइन जमा करने के माध्यम से आयकर आयुक्त के कार्यालय में अपील नहीं की थी। हमें आई. टी. आर. की प्रति संलग्न की गई है और सूचना आदेश हमें संलग्न किया गया है इसलिए आपसे अनुरोध है कि कृपया समाधान करें और ए. आई. के लिए आयकर पोर्टल पर शेष मांग को हटा दें और सभी लंबित मूल्यांकन वर्षों के लिए धनवापसी जारी करें,मेरा आयकर रिटर्न दाखिल करने के समय मुझे एक पावती नंबर मिला था। आयकर विभाग ने मुझे एक नोटिस भेजा है इस बारे में। हमने ऑनलाइन आयकर आयुक्त के कार्यालय में अपील नहीं की थी। मेरा आयकर रिटर्न और नोटिस की प्रति संलग्न है। कृपया इस मामले को सुलझाएं और मेरे पैन के लिए आयकर पोर्टल पर बची हुई मांग को हटा
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing please refer the rectification order din amp order no itbarecs passed on as attached for a refund of rs which is till date not refunded i have filed no of grievances in the portal on this refund issue over the last two years the standard reply to the grievance is as below quotdear taxpayer it is seen from the cpc portal that for the said ay jao submitted manual order and same has been accounted at cpc by determining refund further determined refund has been paidquot i have not received any refund so far nor it reflects in the portal visited the jaos office many times jao is very co operative and every time he sends a mail to email please refer the typical e mail by the jao below quot with reference to the trailing mail received from the assessee sri arun gawas it is to state that the grievance raised by the assessee is relating to non issuance of refund determined as per order passed us dated the copy of the said order passed us of the act along with computation of income is attached for kind reference accordingly it is requested to kindly look into the issue of non issuance of refund as per order passed us of the act dated which is a ws order passed from itba system and not a manual order uploaded with regards krahul income tax officer ward belagavi quot it is very disappointing that even after two years of consistent follow up the issue remains unresolved i request you to kindly look into the matter and resolve the refund issue at the earliest regards arun gawas,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिफंड का मामला गलत मांग पर कोई मूल्यांकन वर्ष नहीं प्रभार कार्यालय प्रदान नहीं किया गया है क्षेत्रीय कार्यालय कार्यालय डी. जी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग कृपया सुधार आदेश दिन ए. एम. पी. आदेश को संदर्भित करें जो कि रुपये के रिफंड के लिए संलग्न है जो आज तक रिफंड नहीं किया गया है मैंने पिछले दो वर्षों में इस रिफंड के मुद्दे पर पोर्टल में कोई शिकायत दर्ज नहीं की है शिकायत का मानक जवाब नीचे दिया गया है जो कि सी. पी. सी. पोर्टल से देखा जाता है कि उक्त ए. ए. जे. ओ. के लिए मैनुअल ऑर्डर जमा किया गया है और इसे सी. पी. सी. में रिफंड का निर्धारण करके आगे निर्धारित किया गया है कि रिफंड का भुगतान किया गया है। दयालु संदर्भ के लिए संलग्न किया गया है, तदनुसार यह अनुरोध किया जाता है कि कृपया अधिनियम के अनुसार धनवापसी जारी न करने के मुद्दे पर ध्यान दें, जो कि इटाबा प्रणाली से पारित एक डब्ल्यू. एस. आदेश है, न कि क्रौल आयकर अधिकारी वार्ड बेलगावी के संबंध में अपलोड किया गया एक मैनुअल आदेश, यह बहुत निराशाजनक है कि दो साल के लगातार अनुवर्ती कार्रवाई के बाद भी मुद्दा अनसुलझा है, मैं आपसे अनुरोध करता हूं कि कृपया इस मामले को देखें और अरुण गावस के संबंध में धनवापसी के मुद्दे को जल्द से जल्द हल करें",मुख्य प्रत्यक्ष कर बोर्ड आयकर के मुद्दों के साथ वापसी का मामला गलत मांग पर कोई साल नहीं लगाया गया है। क्षेत्रीय कार्यालय कार्यालय डी.जी. सिस्टम सी.पी.सी. दाखिल करने के लिए कृपया सुधार आदेश दिन ए.एम.पी. आदेश को देखें जो रुपये की वापसी के लिए संलग्न है जो अब तक नहीं मिली है। मैंने पिछले
central board of direct taxes income tax othermiscsuggestions regional office office others the name of the viren mahendra parmar pan ay we have received rs demand in notice but on the income tax portal we see the demand rs interest rs this demand kindly rectify the same,केंद्रीय प्रत्यक्ष कर बोर्ड अन्य गलत सुझाव क्षेत्रीय कार्यालय कार्यालय अन्य विरेन महेंद्र परमार पान का नाम हमें नोटिस में आरएस मांग मिली है लेकिन आयकर पोर्टल पर हम देखते हैं कि मांग आरएस ब्याज आरएस इस मांग को कृपया ठीक करें,मुझे आयकर विभाग से एक नोटिस मिला है जिसमें ब्याज की मांग की गई है। लेकिन आयकर पोर्टल पर हम देखते हैं कि मांग केवल आरएस है। कृपया इस गलती को ठीक करें।
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing name of the assessee saurabh shailendra mehtalia pan ay issue request for extinguishment of outstanding demand on income tax portal for ay this is in reference to the outstanding demand of inr for assessment year on the income tax portal the assessee made the payment of the aforementioned outstanding demand on february via challan no however despite the payment the demand has not been extinguished from the income tax portal i kindly request that you update the portal and extinguish the demand as the payment has already been made for your reference and perusal i am attaching the tax paid challan and a snapshot of the response to the outstanding demand thank you for your prompt attention to this matter i look forward to your assistance in resolving this issue thanks amp regards saurabh shailendra mehtalia,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिफंड का मामला गलत मांग के साथ कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. दाखिल करने वाले करदाता का नाम सौरभ शैलेंद्र मेहतालिया पैने आयकर पोर्टल पर बकाया मांग को समाप्त करने के लिए अनुरोध किया यह आयकर पोर्टल पर निर्धारण वर्ष के लिए आई. एन. आर. की बकाया मांग के संदर्भ में है, निर्धारिती ने फरवरी को चालान के माध्यम से उपरोक्त बकाया मांग का भुगतान किया था, हालांकि भुगतान के बावजूद आयकर पोर्टल से मांग को समाप्त नहीं किया गया है, मैं कृपया अनुरोध करता हूं कि आप पोर्टल को अपडेट करें और मांग को समाप्त करें क्योंकि आपके संदर्भ और अवलोकन के लिए भुगतान पहले ही किया जा चुका है, मैं संलग्न कर रहा हूं",मेरे पास आपकी मदद करने के लिए पर्याप्त संदर्भ नहीं है। कृपया अपने अनुरोध को और स्पष्ट करें और कुछ महत्वपूर्ण शब्दों को हटा दें ताकि मैं उसे आसानी से समझ सकूं।
attached application,संलग्न आवेदन,"संलग्न आवेदन को सरल शब्दों में कहा जा सकता है:

साथ लगा आवेदन"
cm lucknow application for action,कार्रवाई के लिए सी. एम. लखनऊ आवेदन,आगे की कार्रवाई के लिए मुख्यमंत्री को लखनऊ में आवेदन दिया गया।
to c m,सी एम तक,मुख्यमंत्री तक
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office others dear sir subject short refund received of ay facts it is to be informed to your good office that out of total refund claimed of rs refund of rs is only received assessee has mistakenly deposited additional tax of rs vide challan no dated and same is also reflecting in form as of ay thus total amount of short refundrefund due is rs enclosure a copy of acknowledgement of itr submitted b copy of form as of ay it is requested to your good office that kindly pass the refund order of rs along with interest if any,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिफंड का मामला गलत मांग पर कोई मूल्यांकन वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय अन्य को प्रदान नहीं किया प्रिय महोदय विषय अल्पावधि रिफंड प्राप्त तथ्यों के बारे में यह आपके अच्छे कार्यालय को सूचित किया जाना चाहिए कि कुल रिफंड में से आरएस रिफंड का दावा किया गया है केवल प्राप्त किया गया है निर्धारिती ने गलती से आरएस का अतिरिक्त कर जमा कर दिया है चालान संख्या दिनांकित है और यह एवाई के रूप में भी प्रतिबिंबित हो रहा है इस प्रकार अल्पावधि रिफंड की कुल राशि आरएस की पावती की एक प्रति है जो आपके अच्छे कार्यालय से अनुरोध किया जाता है कि कृपया ब्याज के साथ आरएस का रिफंड आदेश पारित करें यदि कोई हो,"मुझे बताया गया है कि कुल रिफंड में से सिर्फ आरएस का रिफंड मिला है। निर्धारिती ने गलती से अतिरिक्त कर जमा कर दिया है। चालान संख्या और दिनांक है और यह वर्ष के रूप में भी दिखाई दे रहा है। इसलिए कुल रिफंड की राशि आरएस की रसीद की एक प्रति है। आपसे निवेदन है कि कृपया ब्याज के साथ आरएस का रिफंड आदेश जारी करें, यदि"
central board of direct taxes income tax technical issues with website sir my mobile number has been lost and i had updated new mobile number for my pan number but it seems my login id and password is hacked and i am not able to access my login id and password on the website please help income tax department so that i can file my income tax returns accordingly,केंद्रीय प्रत्यक्ष कर बोर्ड वेबसाइट के साथ तकनीकी समस्याएं सर मेरा मोबाइल नंबर खो गया है और मैंने अपने पैनंबर के लिए नया मोबाइल नंबर अपडेट किया है लेकिन ऐसा लगता है कि मेरा लॉगिन आईडी और पासवर्ड हैक हो गया है और मैं वेबसाइट पर अपनी लॉगिन आईडी और पासवर्ड तक नहीं पहुंच पा रहा हूं कृपया आयकर विभाग की मदद करें ताकि मैं उसी के अनुसार अपना आयकर रिटर्न दाखिल कर सकूं,मेरा मोबाइल नंबर खो गया है और मैंने अपने पैन के लिए नया मोबाइल नंबर दिया है लेकिन लगता है कि मेरा लॉगिन आईडी और पासवर्ड चोरी हो गया है और मैं वेबसाइट पर अपना लॉगिन आईडी और पासवर्ड नहीं डाल पा रहा हूं। कृपया आयकर विभाग की मदद करें ताकि मैं अपना आयकर रिटर्न दे सकूं।
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing dear sirmadam income tax return for ay for tara chand negi deceased on pan was filed by his wife kanta devi pan on refund of inr is pending since please check and release the refund as soon as possible attached acknowledgment,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिफंड का मामला गलत मांग और कोई मूल्यांकन वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग प्रिय सिरमदम आयकर रिटर्न फॉर आय फॉर तारा चंद नेगी डेड ऑन पैन उनकी पत्नी कांता देवी पान द्वारा दाखिल किया गया था क्योंकि आई. एन. आर. का रिफंड लंबित है क्योंकि कृपया जांच करें और जल्द से जल्द संलग्न पावती को जारी करें,मुख्य आयकर बोर्ड आयकर के मामलों के साथ रिफंड का मामला गलत मांग और कोई आकलन वर्ष नहीं प्रभारी कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी.जी.टी.एस. सिस्टम सी.पी.सी.ई. फाइलिंग प्रिय महोदय/महोदया आयकर रिटर्न आय के लिए तारा चंद नेगी जी के देहांत पर उनकी पत्नी कांता देवी के पैन
central board of direct taxes income tax pan issues other name ram sharan acknowledgement no not provided regional office office region delhi dear sir i hope you are doing well i am writing to bring to your attention that nsdl has allotted me two different pan card numbers and currently is linked to my aadhaar card whereas has been submitted to my bank as proof of identity due to this discrepancy i have been unable to receive my pension as the incorrect pan is linked to my aadhaar the bank representative has advised me to link my correct pan with my aadhaar number to resolve this issue i request you to migrate my pan card to ward no so that both pan cards are in the same ward this will allow the pan card department to later delete from their database enabling me to link my aadhaar with the correct pan i kindly request you to process this correction at the earliest as it is directly impacting my pension payments your prompt attention to this matter would be greatly appreciated thank you for your time and assistance best regards ram sharan,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर पैन अन्य नाम जारी करता है राम शरण पावती नहीं प्रदान की गई क्षेत्रीय कार्यालय कार्यालय क्षेत्र दिल्ली प्रिय सर मैं आशा करता हूं कि आप अच्छा कर रहे हैं मैं आपके ध्यान में लाने के लिए लिख रहा हूं कि एनएसडीएल ने मुझे दो अलग-अलग पैन कार्ड नंबर आवंटित किए हैं और वर्तमान में मेरे आधार कार्ड से जुड़ा हुआ है जबकि इस विसंगति के कारण पहचान के प्रमाण के रूप में मेरे बैंक में जमा किया गया है मुझे अपनी पेंशन प्राप्त करने में असमर्थ है क्योंकि गलत पैन मेरे आधार से जुड़ा हुआ है बैंक प्रतिनिधि ने मुझे सलाह दी है कि मैं अपने सही पैन को मेरे आधार नंबर से जोड़ दूं ताकि इस मुद्दे को हल किया जा सके मैं आपसे अनुरोध करता हूं कि आप अपने पैन कार्ड को वार्ड नंबर में स्थानांतरित करें ताकि दोनों पैन कार्ड एक ही वार्ड में हों,"मेरे प्रिय सर, मैं आशा करता हूं कि आप अच्छे हैं। मैं आपको बताना चाहता हूं कि मुझे दो अलग-अलग पैन कार्ड नंबर मिले हैं। एक पैन कार्ड मेरे आधार कार्ड से जुड़ा हुआ है लेकिन दूसरा नहीं। इस गलती के कारण मुझे अपनी पेंशन लेने में परेशानी हो रही है। बैंक वाले ने मुझे सलाह दी है कि मैं अपना"
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office region mumbai grievance application acknowledgement no for ay this has reference to order us of the income tax issued on th october rectified by passing an order for credit of tds amount rs refer din itbarecm copy attached as annex the resolution for our grievance application comments in grievance redressal in our case for ay in which a refund of rs has been determined on passing order us of the act for ay and same has been submitted to the competent authority for refund approvaldocuments are attached as annex however till date we have not received refund of rs from cpc,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिफंड का मामला गलत मांग का कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय क्षेत्र मुंबई शिकायत आवेदन स्वीकृति संख्या प्रदान नहीं की है, इसमें अक्टूबर को जारी किए गए आयकर के आदेश का संदर्भ है, जिसमें टी. डी. एस. राशि जमा करने के लिए एक आदेश पारित करके सुधार किया गया है","मुख्य आयकर बोर्ड आयकर के मामलों के साथ वापसी का मामला गलत मांग का कोई साल नहीं निर्धारित कार्यालय ने क्षेत्रीय कार्यालय कार्यालय क्षेत्र मुंबई शिकायत आवेदन स्वीकृति संख्या नहीं दी है, इसमें अक्टूबर में जारी किए गए आयकर के आदेश का संदर्भ है, जिसमें टी.डी.एस. राशि जमा करने का आदेश देकर सुधार कि"
central board of direct taxes income tax direct taxes issues with it returns it return processing pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing subject complaint regarding processing of return for ay and incorrect tax demand hello team with reference to above subject we are writing the complain on behalf of yadnya academy private limited pan no despite following all necessary procedures and filing our return in compliance with the applicable laws we have been issued a demand for ay that we believe is incorrect as per a telephonic conversation with one of your demand executives we were informed that our form ic filed on december has not been verified however i would like to clarify that we had uploaded and verified the form on december which is before due date of filing itr as a result our tax liability for ay was calculated by considering percent tax rate and accordingly the mat liability was considered butwe had opted for section baa which allows for a reduced tax rate of and had filed our return accordingly despite this we continue to receive a demand for the same assessment year based on the same issue furthermore we checked the other similar cases where form ic was accepted for the same ay despite retunr is filed after the due date but within the extended due date of march in those cases the returns were processed accordingly and no demand was raised we have raised this grievance several times with the income tax department and have generated a dispute id for this matter however the issue remains unresolved we are attaching the following documents for your reference and further investigation copy of the filed form ic for ay arn for the filed return we kindly request that you take these points into consideration and drop the demand at your earliest convenience thanks amp regards authorized representative of yadnya academy private limited,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर मुद्दे इसके साथ रिटर्न प्रोसेसिंग पैन कोई आकलन वर्ष प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग विषय शिकायत के संबंध में रिटर्न की प्रक्रिया और गलत कर मांग हैलो टीम उपरोक्त विषय के संदर्भ में हम सभी आवश्यक प्रक्रियाओं का पालन करने और लागू कानूनों के अनुपालन में अपना रिटर्न दाखिल करने के बावजूद यज्ञ अकादमी प्राइवेट लिमिटेड पैनंबर की ओर से शिकायत लिख रहे हैं, हमें एक मांग जारी की गई है कि हमें विश्वास है कि आपके एक मांग अधिकारी के साथ टेलीफोन पर बातचीत के अनुसार गलत है, हमें सूचित किया गया था कि दिसंबर में दायर किए गए हमारे फॉर्म का सत्यापन नहीं किया गया है, हालांकि मैं स्पष्ट करना चाहूंगा कि हमने दिसंबर को फॉर्म अपलोड और सत्यापित किया था जो इसे दाखिल करने की नियत तारीख से पहले था। उन मामलों में रिटर्न को तदनुसार संसाधित किया गया था और कोई मांग नहीं की गई थी, हमने इस शिकायत को आयकर विभाग के साथ कई बार उठाया है और इस मामले के लिए एक विवाद आईडी उत्पन्न की है, हालांकि मुद्दा अनसुलझा है, हम आपके संदर्भ के लिए निम्नलिखित दस्तावेजों को संलग्न कर रहे हैं और दाखिल किए गए रिटर्न के लिए दायर किए गए फॉर्म की आगे की जांच प्रति हम कृपया अनुरोध करते हैं कि आप इन बिंदुओं को ध्यान में रखें और अपनी जल्द से जल्द सुविधा के लिए मांग को छोड़ दें","केंद्रीय प्रत्यक्ष कर बोर्ड से संबंधित आयकर, प्रत्यक्ष कर के मुद्दों, रिटर्न प्रोसेसिंग, पैन, किसी भी आकलन वर्ष, प्रभार कार्यालय, क्षेत्रीय कार्यालय, डी.जी.टी. सिस्टम, सी.पी.सी., फाइलिंग विषय, शिकायत के संबंध में रिटर्न की प्रक्रिया और गलत कर मांग के बारे में हैलो"
